Accuracy,Stage,$\sigma$,Pruner,Architecture,Dataset,Pruning rate
0.93982005,Voting,0.003,GMP,resnet50,cifar10,0.9
0.9396126,Mean,0.003,GMP,resnet50,cifar10,0.9
0.9355376,Voting,0.003,LAMP,resnet50,cifar10,0.9
0.9356283,Mean,0.003,LAMP,resnet50,cifar10,0.9
0.9358076,Voting,0.005,GMP,resnet50,cifar10,0.9
0.9357548,Mean,0.005,GMP,resnet50,cifar10,0.9
0.93305093,Voting,0.005,LAMP,resnet50,cifar10,0.9
0.93315524,Mean,0.005,LAMP,resnet50,cifar10,0.9
0.9357177,Voting,0.001,GMP,VGG19,cifar10,0.9
0.9360394,Mean,0.001,GMP,VGG19,cifar10,0.9
0.9365535,Voting,0.001,LAMP,VGG19,cifar10,0.9
0.93673927,Mean,0.001,LAMP,VGG19,cifar10,0.9
0.93602437,Voting,0.003,GMP,VGG19,cifar10,0.9
0.9365236,Mean,0.003,GMP,VGG19,cifar10,0.9
0.93346643,Voting,0.003,LAMP,VGG19,cifar10,0.9
0.9337886,Mean,0.003,LAMP,VGG19,cifar10,0.9
0.9349424,Voting,0.005,GMP,VGG19,cifar10,0.9
0.93483233,Mean,0.005,GMP,VGG19,cifar10,0.9
0.93562096,Voting,0.005,LAMP,VGG19,cifar10,0.9
0.93592274,Mean,0.005,LAMP,VGG19,cifar10,0.9
0.7840178,Voting,0.001,GMP,resnet18,cifar10,0.95
0.78308,Mean,0.001,GMP,resnet18,cifar10,0.95
0.8931379,Voting,0.001,LAMP,resnet18,cifar10,0.95
0.89350474,Mean,0.001,LAMP,resnet18,cifar10,0.95
0.78994656,Voting,0.003,GMP,resnet18,cifar10,0.95
0.7887192,Mean,0.003,GMP,resnet18,cifar10,0.95
0.89349633,Voting,0.003,LAMP,resnet18,cifar10,0.95
0.8940004,Mean,0.003,LAMP,resnet18,cifar10,0.95
0.8093518,Voting,0.005,GMP,resnet18,cifar10,0.95
0.8121495,Mean,0.005,GMP,resnet18,cifar10,0.95
0.8733242,Voting,0.005,LAMP,resnet18,cifar10,0.95
0.87387323,Mean,0.005,LAMP,resnet18,cifar10,0.95
0.9173184,Voting,0.001,GMP,resnet50,cifar10,0.95
0.9176272,Mean,0.001,GMP,resnet50,cifar10,0.95
0.9217129,Voting,0.001,LAMP,resnet50,cifar10,0.95
0.9216059,Mean,0.001,LAMP,resnet50,cifar10,0.95
0.922032,Voting,0.003,GMP,resnet50,cifar10,0.95
0.92291695,Mean,0.003,GMP,resnet50,cifar10,0.95
0.9092935,Voting,0.003,LAMP,resnet50,cifar10,0.95
0.90931034,Mean,0.003,LAMP,resnet50,cifar10,0.95
0.90274084,Voting,0.005,GMP,resnet50,cifar10,0.95
0.90358126,Mean,0.005,GMP,resnet50,cifar10,0.95
0.8727543,Voting,0.005,LAMP,resnet50,cifar10,0.95
0.87242246,Mean,0.005,LAMP,resnet50,cifar10,0.95
0.9300668,Voting,0.001,GMP,VGG19,cifar10,0.95
0.9304432,Mean,0.001,GMP,VGG19,cifar10,0.95
0.92907405,Voting,0.001,LAMP,VGG19,cifar10,0.95
0.9292169,Mean,0.001,LAMP,VGG19,cifar10,0.95
0.929044,Voting,0.003,GMP,VGG19,cifar10,0.95
0.9307928,Mean,0.003,GMP,VGG19,cifar10,0.95
0.9228646,Voting,0.003,LAMP,VGG19,cifar10,0.95
0.92307806,Mean,0.003,LAMP,VGG19,cifar10,0.95
0.931579,Voting,0.005,GMP,VGG19,cifar10,0.95
0.93085337,Mean,0.005,GMP,VGG19,cifar10,0.95
0.92068774,Voting,0.005,LAMP,VGG19,cifar10,0.95
0.92104936,Mean,0.005,LAMP,VGG19,cifar10,0.95
