Epoch,sparse_flops,val_set_gradient_magnitude,val_accuracy,test_set_gradient_magnitude,test_accuracy,individual,sigma,Architecture,Pruner,Dataset,Pruning Rate
-1,128933680.0,2.2835848331451416,4.34,2.311548948287964,4.67,13,0.003,resnet50,GMP,cifar100,0.9
0,15600975280.0,1.0983175039291382,37.42,1.0585607290267944,35.48,13,0.003,resnet50,GMP,cifar100,0.9
10,170321391280.0,0.369793176651001,70.28,0.5135716199874878,60.35,13,0.003,resnet50,GMP,cifar100,0.9
20,325041807280.0,0.3011015951633453,77.88,0.5293658375740051,64.55,13,0.003,resnet50,GMP,cifar100,0.9
30,479762223280.0,0.2979868054389953,82.1,0.5658490657806396,66.87,13,0.003,resnet50,GMP,cifar100,0.9
40,634482639280.0,0.306120753288269,84.66,0.5533728003501892,68.16,13,0.003,resnet50,GMP,cifar100,0.9
50,789203055280.0,0.2851264774799347,86.88,0.5799013376235962,69.29,13,0.003,resnet50,GMP,cifar100,0.9
60,943923471280.0,0.296941190958023,88.62,0.6642950177192688,69.77,13,0.003,resnet50,GMP,cifar100,0.9
70,1098643887280.0,0.3584323227405548,90.52,0.7333745956420898,70.01,13,0.003,resnet50,GMP,cifar100,0.9
80,1253364303280.0,0.2882806360721588,91.26,0.7088629603385925,70.67,13,0.003,resnet50,GMP,cifar100,0.9
90,1408084719280.0,0.3255617022514343,92.6,0.7753896117210388,70.52,13,0.003,resnet50,GMP,cifar100,0.9
100,1562805135280.0,0.3280988037586212,92.88,0.7583259344100952,70.76,13,0.003,resnet50,GMP,cifar100,0.9
101,1562805135280.0,0.3505709171295166,92.96,0.7583259344100952,70.76,13,0.003,resnet50,GMP,cifar100,0.9
-1,128899552.0,2.097590923309326,5.4,2.1094424724578857,5.74,14,0.003,resnet50,GMP,cifar100,0.9
0,15596845792.0,1.1402829885482788,36.94,1.1380113363265991,35.83,14,0.003,resnet50,GMP,cifar100,0.9
10,170276308192.0,0.4010793268680572,70.28,0.6288744807243347,60.13,14,0.003,resnet50,GMP,cifar100,0.9
20,324955770592.0,0.3070532381534576,77.22,0.5925689339637756,64.77,14,0.003,resnet50,GMP,cifar100,0.9
30,479635232992.0,0.2446370124816894,81.66,0.6001083254814148,66.83,14,0.003,resnet50,GMP,cifar100,0.9
40,634314695392.0,0.2971551120281219,84.34,0.6548360586166382,67.95,14,0.003,resnet50,GMP,cifar100,0.9
50,788994157792.0,0.2475045919418335,86.68,0.728511393070221,68.69,14,0.003,resnet50,GMP,cifar100,0.9
60,943673620192.0,0.3150695860385895,87.9,0.7678030729293823,69.19,14,0.003,resnet50,GMP,cifar100,0.9
70,1098353082592.0,0.3045374453067779,90.32,0.7605794668197632,69.78,14,0.003,resnet50,GMP,cifar100,0.9
80,1253032544992.0,0.3217942416667938,91.02,0.9039345979690552,69.82,14,0.003,resnet50,GMP,cifar100,0.9
90,1407712007392.0,0.3198640942573547,91.86,0.7830198407173157,70.19,14,0.003,resnet50,GMP,cifar100,0.9
100,1562391469792.0,0.3540263175964355,92.64,0.9449333548545836,70.12,14,0.003,resnet50,GMP,cifar100,0.9
101,1562391469792.0,0.3519690632820129,92.44,0.9449333548545836,70.12,14,0.003,resnet50,GMP,cifar100,0.9
-1,128789584.0,2.1591053009033203,6.36,2.168919801712036,6.16,15,0.003,resnet50,GMP,cifar100,0.9
0,15583539664.0,1.1188100576400757,39.04,1.1062901020050049,37.04,15,0.003,resnet50,GMP,cifar100,0.9
10,170131040464.0,0.4288632273674011,69.84,0.579011082649231,59.83,15,0.003,resnet50,GMP,cifar100,0.9
20,324678541264.0,0.2612675726413727,77.52,0.6351278424263,64.48,15,0.003,resnet50,GMP,cifar100,0.9
30,479226042064.0,0.2993927001953125,81.46,0.6314741373062134,66.62,15,0.003,resnet50,GMP,cifar100,0.9
40,633773542864.0,0.2802498042583465,84.52,0.6592203974723816,68.19,15,0.003,resnet50,GMP,cifar100,0.9
50,788321043664.0,0.2659887373447418,87.08,0.6760450005531311,68.74,15,0.003,resnet50,GMP,cifar100,0.9
60,942868544464.0,0.2811978459358215,88.28,0.8364982604980469,69.2,15,0.003,resnet50,GMP,cifar100,0.9
70,1097416045264.0,0.3430332541465759,89.88,0.8674695491790771,69.83,15,0.003,resnet50,GMP,cifar100,0.9
