Epoch,sparse_flops,val_set_gradient_magnintude,val_set_Hg_magnitude,val_accuracy,test_set_gradient_magnitude,test_set_Hg_magnitude,test_accuracy,individual,sigma,Pruner,Architecture,Dataset,Pruning Rate
50,220215047152.0,0.0711150467395782,7.997125067049637e-06,97.9,0.1538665294647216,6.842277343821479e-06,92.81,9,0.001,LAMP,resnet18,cifar10,0.9
60,263366264752.0,0.0535712912678718,8.284124305646401e-06,98.28,0.1464067548513412,7.082535830704728e-06,92.84,9,0.001,LAMP,resnet18,cifar10,0.9
70,306517482352.0,0.0586343556642532,8.136284122883808e-06,98.06,0.1427260041236877,7.557602657470852e-06,92.91,9,0.001,LAMP,resnet18,cifar10,0.9
80,349668699952.0,0.0601031929254531,9.498199688096063e-06,98.16,0.1620084792375564,8.774175512371585e-06,93.0,9,0.001,LAMP,resnet18,cifar10,0.9
90,392819917552.0,0.0498376339673996,9.93016601569252e-06,98.36,0.1435980796813964,9.930064152285922e-06,93.06,9,0.001,LAMP,resnet18,cifar10,0.9
-1,143898448.0,0.859171450138092,3.4610811781021766e-06,80.98,0.7633154988288879,3.313152774353512e-06,80.56,10,0.001,LAMP,resnet18,cifar10,0.9
0,4460851888.0,0.4898618161678314,2.7000078262062743e-06,91.44,0.4057126641273498,2.2510159851663047e-06,88.3,10,0.001,LAMP,resnet18,cifar10,0.9
10,47630386288.0,0.1210198178887367,4.7146340875769965e-06,97.12,0.1499503850936889,3.816775915765902e-06,92.29,10,0.001,LAMP,resnet18,cifar10,0.9
20,90799920688.0,0.0998308137059211,4.977019216312328e-06,97.22,0.143771544098854,4.119061486562714e-06,92.34,10,0.001,LAMP,resnet18,cifar10,0.9
30,133969455088.0,0.0995340049266815,5.312876965035684e-06,97.56,0.1370435655117035,4.483568773139268e-06,92.44,10,0.001,LAMP,resnet18,cifar10,0.9
40,177138989488.0,0.0654102116823196,8.810907274892088e-06,97.74,0.1307040750980377,5.865620096301427e-06,92.7,10,0.001,LAMP,resnet18,cifar10,0.9
50,220308523888.0,0.061499785631895,8.64429966895841e-06,98.08,0.1184319928288459,7.71621307649184e-06,92.85,10,0.001,LAMP,resnet18,cifar10,0.9
60,263478058288.0,0.0565221533179283,9.502791726845317e-06,97.66,0.1214886605739593,7.790911695337854e-06,92.85,10,0.001,LAMP,resnet18,cifar10,0.9
70,306647592688.0,0.0570449382066726,9.52112714003306e-06,98.04,0.1196615770459175,8.121268365357537e-06,92.9,10,0.001,LAMP,resnet18,cifar10,0.9
