;Epoch;test_accuracy;train-saturation_features-0;train-saturation_features-4;train-saturation_features-8;train-saturation_features-11;train-saturation_features-15;train-saturation_features-18;train-saturation_features-21;train-saturation_features-24;train-saturation_features-28;train-saturation_features-31;train-saturation_features-34;train-saturation_features-37;train-saturation_features-40;train-saturation_features-43;train-saturation_features-46;train-saturation_features-49;train-saturation_classifier;eval-saturation_features-0;eval-saturation_features-4;eval-saturation_features-8;eval-saturation_features-11;eval-saturation_features-15;eval-saturation_features-18;eval-saturation_features-21;eval-saturation_features-24;eval-saturation_features-28;eval-saturation_features-31;eval-saturation_features-34;eval-saturation_features-37;eval-saturation_features-40;eval-saturation_features-43;eval-saturation_features-46;eval-saturation_features-49;eval-saturation_classifier
44;44;89.55;0.15625;0.484375;0.546875;0.734375;0.66015625;0.7109375;0.6875;0.5234375;0.396484375;0.259765625;0.173828125;0.140625;0.126953125;0.1171875;0.10546875;0.107421875;0.8;0.171875;0.515625;0.5390625;0.71875;0.65625;0.71875;0.70703125;0.578125;0.408203125;0.271484375;0.169921875;0.13671875;0.125;0.115234375;0.10546875;0.107421875;0.8
45;45;90.14;0.15625;0.484375;0.546875;0.7265625;0.6640625;0.71484375;0.69140625;0.515625;0.408203125;0.271484375;0.181640625;0.14453125;0.12890625;0.119140625;0.107421875;0.109375;0.8;0.171875;0.515625;0.5390625;0.71875;0.66015625;0.71875;0.703125;0.5703125;0.400390625;0.263671875;0.16796875;0.13671875;0.125;0.115234375;0.103515625;0.10546875;0.8
46;46;90.28;0.15625;0.484375;0.546875;0.7265625;0.66015625;0.71484375;0.69140625;0.52734375;0.384765625;0.251953125;0.171875;0.142578125;0.126953125;0.119140625;0.107421875;0.109375;0.8;0.171875;0.53125;0.5390625;0.7109375;0.65625;0.71875;0.70703125;0.578125;0.392578125;0.26953125;0.173828125;0.140625;0.126953125;0.1171875;0.10546875;0.107421875;0.8
47;47;90.26;0.15625;0.484375;0.546875;0.7265625;0.6640625;0.71875;0.6953125;0.53125;0.39453125;0.255859375;0.171875;0.140625;0.130859375;0.12109375;0.109375;0.107421875;0.8;0.171875;0.515625;0.5390625;0.71875;0.65625;0.72265625;0.7109375;0.58203125;0.388671875;0.255859375;0.166015625;0.13671875;0.126953125;0.1171875;0.10546875;0.10546875;0.8
48;48;90.62;0.15625;0.484375;0.5546875;0.7265625;0.66796875;0.71875;0.69921875;0.53125;0.392578125;0.259765625;0.17578125;0.142578125;0.126953125;0.115234375;0.103515625;0.10546875;0.8;0.171875;0.515625;0.546875;0.71875;0.66015625;0.71875;0.70703125;0.578125;0.392578125;0.255859375;0.166015625;0.13671875;0.125;0.115234375;0.103515625;0.10546875;0.8
49;49;90.4;0.15625;0.484375;0.546875;0.734375;0.66015625;0.72265625;0.69921875;0.5390625;0.40234375;0.267578125;0.177734375;0.14453125;0.12890625;0.1171875;0.10546875;0.10546875;0.8;0.171875;0.53125;0.5390625;0.71875;0.66015625;0.7265625;0.7109375;0.5859375;0.392578125;0.251953125;0.166015625;0.138671875;0.126953125;0.115234375;0.103515625;0.10546875;0.8
50;50;90.83;0.15625;0.484375;0.546875;0.7265625;0.66796875;0.72265625;0.6953125;0.5234375;0.400390625;0.263671875;0.181640625;0.146484375;0.12890625;0.1171875;0.10546875;0.107421875;0.8;0.171875;0.53125;0.5390625;0.71875;0.66015625;0.72265625;0.7109375;0.58203125;0.390625;0.259765625;0.16796875;0.138671875;0.126953125;0.115234375;0.103515625;0.10546875;0.8
51;51;90.92;0.15625;0.484375;0.546875;0.734375;0.66796875;0.72265625;0.69921875;0.51953125;0.396484375;0.265625;0.181640625;0.1484375;0.1328125;0.119140625;0.107421875;0.109375;0.8;0.171875;0.53125;0.546875;0.71875;0.6640625;0.7265625;0.7109375;0.578125;0.40234375;0.263671875;0.169921875;0.140625;0.12890625;0.1171875;0.10546875;0.10546875;0.8
52;52;90.62;0.171875;0.484375;0.546875;0.734375;0.6640625;0.72265625;0.703125;0.53125;0.388671875;0.2578125;0.177734375;0.14453125;0.126953125;0.1171875;0.103515625;0.107421875;0.8;0.171875;0.53125;0.546875;0.71875;0.6640625;0.7265625;0.71484375;0.58203125;0.396484375;0.251953125;0.162109375;0.13671875;0.126953125;0.115234375;0.103515625;0.10546875;0.8
53;53;90.9;0.15625;0.5;0.546875;0.734375;0.66796875;0.7265625;0.70703125;0.53125;0.3984375;0.259765625;0.1796875;0.146484375;0.130859375;0.119140625;0.107421875;0.109375;0.8;0.171875;0.53125;0.5390625;0.71875;0.6640625;0.73046875;0.71875;0.58203125;0.3984375;0.2578125;0.16796875;0.140625;0.12890625;0.1171875;0.10546875;0.107421875;0.8
54;54;90.7;0.15625;0.5;0.546875;0.734375;0.671875;0.7265625;0.70703125;0.52734375;0.3984375;0.2578125;0.17578125;0.14453125;0.130859375;0.115234375;0.103515625;0.10546875;0.8;0.171875;0.53125;0.5390625;0.71875;0.66796875;0.73046875;0.71875;0.58984375;0.40234375;0.259765625;0.166015625;0.138671875;0.12890625;0.1171875;0.103515625;0.107421875;0.8
55;55;90.47;0.171875;0.5;0.5546875;0.734375;0.671875;0.73046875;0.70703125;0.5234375;0.400390625;0.263671875;0.181640625;0.146484375;0.12890625;0.1171875;0.103515625;0.10546875;0.8;0.171875;0.53125;0.546875;0.71875;0.6640625;0.73046875;0.72265625;0.58984375;0.3984375;0.26171875;0.171875;0.140625;0.12890625;0.1171875;0.103515625;0.10546875;0.8
56;56;90.85;0.15625;0.5;0.5546875;0.734375;0.671875;0.73046875;0.7109375;0.53515625;0.388671875;0.263671875;0.1875;0.150390625;0.1328125;0.119140625;0.10546875;0.107421875;0.8;0.171875;0.53125;0.546875;0.71875;0.66796875;0.734375;0.72265625;0.58984375;0.392578125;0.255859375;0.166015625;0.138671875;0.126953125;0.115234375;0.103515625;0.10546875;0.8
57;57;90.96;0.15625;0.484375;0.546875;0.734375;0.66796875;0.73046875;0.703125;0.51953125;0.38671875;0.248046875;0.17578125;0.1484375;0.1328125;0.119140625;0.10546875;0.107421875;0.8;0.171875;0.53125;0.5390625;0.71875;0.6640625;0.734375;0.72265625;0.5859375;0.396484375;0.26171875;0.169921875;0.140625;0.130859375;0.1171875;0.10546875;0.10546875;0.8
58;58;91.0;0.171875;0.5;0.546875;0.734375;0.67578125;0.73046875;0.7109375;0.51953125;0.388671875;0.248046875;0.169921875;0.140625;0.126953125;0.115234375;0.1015625;0.103515625;0.8;0.171875;0.53125;0.5390625;0.71875;0.66796875;0.734375;0.72265625;0.5859375;0.39453125;0.259765625;0.16796875;0.138671875;0.12890625;0.1171875;0.103515625;0.10546875;0.8
59;59;90.45;0.171875;0.5;0.5546875;0.734375;0.671875;0.73046875;0.703125;0.515625;0.3984375;0.263671875;0.181640625;0.1484375;0.1328125;0.12109375;0.107421875;0.107421875;0.8;0.171875;0.53125;0.546875;0.71875;0.671875;0.734375;0.72265625;0.5859375;0.3984375;0.26171875;0.171875;0.140625;0.12890625;0.1171875;0.103515625;0.10546875;0.8
60;60;91.36;0.15625;0.5;0.5546875;0.734375;0.671875;0.73046875;0.70703125;0.5234375;0.396484375;0.2578125;0.1796875;0.14453125;0.130859375;0.1171875;0.10546875;0.10546875;0.8;0.171875;0.53125;0.546875;0.7265625;0.671875;0.734375;0.7265625;0.58984375;0.404296875;0.2578125;0.1640625;0.138671875;0.12890625;0.1171875;0.103515625;0.10546875;0.8
